tick,day,residents,satisfaction,firewoodRaw,householdDailyRaw,protectedRaw,surplusRaw,yardCycles,yardBlocker,breadRaw
24,1,50,9500,19950,0,0,19900,0,None,48000
48,2,50,9500,19900,0,0,19850,0,None,51000
72,3,50,9500,19850,0,0,19850,0,None,54000
96,4,50,9500,19800,0,0,19800,0,None,57000
120,5,50,9500,25200,0,0,25200,1,None,45000
144,6,50,9500,25200,0,0,25200,1,None,33000
168,7,50,9500,25150,0,0,25150,1,None,36000
192,8,50,9500,25100,0,0,25100,1,None,39000
216,9,50,9500,25050,0,0,25050,2,MissingInput,42000
240,10,50,9500,30450,0,0,30450,2,None,30000
264,11,50,9500,30400,0,0,30400,2,None,33000
288,12,50,9500,30350,0,0,30350,2,None,36000
312,13,50,9500,30300,0,0,30300,2,None,24000
336,14,50,9500,35700,0,0,35700,3,None,27000
360,15,50,9500,35650,0,0,35650,3,None,30000
384,16,50,9500,35600,0,0,35600,3,None,33000
408,17,50,9500,35550,0,0,35550,3,None,31000
432,18,50,9500,35550,0,0,35550,4,MissingInput,24000
456,19,50,9500,40950,0,0,40950,4,None,12000
480,20,50,9500,40900,0,0,40900,4,None,15000
504,21,50,9500,40850,0,0,40850,4,None,18000
528,22,50,9500,40800,0,0,40800,4,None,21000
552,23,50,9500,46200,0,0,46200,5,None,9000
576,24,50,3500,46200,0,0,46200,5,None,0
600,25,50,9500,46150,0,0,46150,5,None,5500
624,26,50,9500,46100,0,0,46100,5,None,11000
648,27,50,9500,46050,0,0,46050,6,MissingInput,14000
672,28,50,9500,51450,0,0,51450,6,None,2000
696,29,50,9500,51400,0,0,51400,6,None,9500
720,30,50,9500,51350,0,0,51350,6,None,12500
744,31,50,9500,51300,0,0,51300,6,None,15500
768,32,50,9500,56700,0,0,56700,7,None,3500
792,33,50,3500,56650,0,0,56650,7,None,0
816,34,50,9500,56600,0,0,56600,7,None,3500
840,35,50,9500,56550,0,0,56550,7,None,6500
864,36,50,9500,61950,0,0,61950,8,None,9500
888,37,50,3500,61950,0,0,61900,8,None,0
912,38,50,9500,61900,0,0,61900,8,None,4000
936,39,50,9500,61850,0,0,61850,8,None,7000
960,40,50,9500,61800,0,0,61800,9,None,10000
984,41,50,3500,67200,0,0,67200,9,None,0
1008,42,50,9500,67150,0,0,67150,9,None,13000
1032,43,50,9500,67100,0,0,67100,9,None,1000
1056,44,50,9500,67100,0,0,67100,9,None,6000
1080,45,50,9500,72450,0,0,72450,10,None,9000
1104,46,50,3500,72450,0,0,72450,10,None,0
1128,47,50,9500,72400,0,0,72400,10,None,11500
1152,48,50,3500,72350,0,0,72350,10,None,0
1176,49,50,9500,72350,0,0,72350,11,MissingInput,6000
1200,50,50,9500,77700,0,0,77700,11,None,9000
1224,51,50,3500,77700,0,0,77700,11,None,0
1248,52,50,9500,77650,0,0,77650,11,None,4500
1272,53,50,9500,77600,0,0,77600,11,None,7500
1296,54,50,9500,82950,0,0,82950,12,None,10500
1320,55,50,3500,82950,0,0,82950,12,None,0
1344,56,50,9500,82900,0,0,82900,12,None,9500
1368,57,50,9500,82850,0,0,82850,12,None,12500
1392,58,50,9500,82800,0,0,82800,13,None,15500
1416,59,50,9500,88200,0,0,88200,13,None,3500
1440,60,50,9500,88150,0,0,88150,13,None,10500
1464,61,50,9500,88100,0,0,88100,13,None,13500
1488,62,50,9500,88050,0,0,88050,13,None,16500
1512,63,50,9500,93450,0,0,93450,14,None,4500
1536,64,50,3500,93450,0,0,93450,14,None,0
1560,65,50,9500,93400,0,0,93400,14,None,6000
1584,66,50,9500,93350,0,0,93350,14,None,9000
1608,67,50,9500,98700,0,0,98700,15,None,13500
1632,68,50,9500,98700,0,0,98700,15,None,1500
1656,69,50,3500,98700,0,0,98700,15,None,0
1680,70,50,9500,98650,0,0,98650,15,None,7000
1704,71,50,9500,98600,0,0,98600,16,MissingInput,12000
1728,72,50,9500,103950,0,0,103950,16,None,15000
1752,73,50,9500,103950,0,0,103950,16,None,3000
1776,74,50,9500,103900,0,0,103900,16,None,10500
1800,75,50,9500,103850,0,0,103850,16,None,13500
1824,76,50,9500,109200,0,0,109200,17,None,16500
1848,77,50,9500,109200,0,0,109200,17,None,4500
1872,78,50,3500,109150,0,0,109150,17,None,0
1896,79,50,9500,109100,0,0,109100,17,None,3500
1920,80,50,9500,109050,0,0,109050,18,MissingInput,6500
1944,81,50,9500,114450,0,0,114450,18,None,9500
1968,82,50,3500,114450,0,0,114450,18,None,0
1992,83,50,9500,114400,0,0,114400,18,None,4500
