stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
8,1,6.7832,1.6290,6.4635,259,4685660160,77,1,3,3
8,2,5.8006,1.5029,5.9120,241,4685660160,77,1,3,3
8,3,6.3440,1.6259,5.9145,241,4685660160,77,1,3,3
8,4,6.5294,2.2036,6.4608,254,4685660160,77,1,3,3
8,5,5.7468,1.9526,5.8299,241,4685668352,77,1,3,3
8,6,7.5975,2.0593,7.0273,279,4685692928,77,1,3,3
8,7,3.9800,2.5036,4.6852,279,4685705216,77,1,3,3
8,8,5.7632,1.7086,5.8324,239,4685709312,77,1,3,3
8,9,6.0650,1.6270,6.0865,240,4685717504,77,1,3,3
8,10,6.7380,1.7714,6.3085,240,4686536704,77,1,3,3
8,11,5.7342,2.1497,6.1578,256,4685729792,77,1,3,3
8,12,6.0029,1.5052,5.8850,240,4685729792,77,1,3,3
8,13,5.2413,1.7473,5.5811,257,4685729792,77,1,3,3
8,14,6.0573,1.3695,6.0277,277,4685729792,77,1,3,3
8,15,6.0071,1.5835,5.7314,240,4685729792,77,1,3,3
8,16,6.8660,1.6766,6.5397,240,4685729792,77,1,3,3
8,17,5.5281,2.1058,5.7952,254,4685729792,77,1,3,3
8,18,5.6632,1.5461,5.9167,240,4685729792,77,1,3,3
8,19,6.3310,1.6040,6.1736,240,4685729792,77,1,3,3
8,20,5.8509,1.5400,5.9539,302,4685729792,77,1,3,3
8,21,6.3839,1.7057,6.0955,240,4685729792,77,1,3,3
8,22,5.7012,1.5504,5.9677,240,4685729792,77,1,3,3
8,23,5.5443,1.4600,5.5965,254,4685729792,77,1,3,3
8,24,6.8452,1.6846,6.5448,240,4685729792,77,1,3,3
8,25,6.1656,1.5166,6.0558,240,4685729792,77,1,3,3
8,26,4.7984,1.7498,5.1805,302,4685729792,77,1,3,3
8,27,6.8411,1.6082,6.4666,241,4685729792,77,1,3,3
8,28,5.4728,1.6339,5.6670,240,4685729792,77,1,3,3
8,29,5.9686,1.6413,5.8827,255,4685729792,77,1,3,3
8,30,6.1558,1.5011,6.2644,240,4685729792,77,1,3,3
8,31,5.9454,1.5803,5.8602,241,4685729792,77,1,3,3
8,32,5.7190,1.4277,5.9365,302,4685729792,77,1,3,3
8,33,6.0196,1.4776,5.8318,240,4685729792,77,1,3,3
8,34,6.5861,1.6420,6.3813,241,4685729792,77,1,3,3
8,35,5.9157,1.5061,6.1131,254,4685729792,77,1,3,3
8,36,5.9047,1.5348,5.9524,240,4685729792,77,1,3,3
8,37,6.2961,1.6027,6.0060,240,4685729792,77,1,3,3
8,38,5.8833,1.5368,6.1767,302,4685729792,77,1,3,3
8,39,5.4000,1.4425,5.4144,241,4685729792,77,1,3,3
8,40,7.0493,1.5654,6.7581,241,4685729792,77,1,3,3
8,41,5.2052,1.7267,5.2118,254,4685729792,77,1,3,3
8,42,5.7842,1.5487,5.9504,241,4685729792,77,1,3,3
