phase,sample,wall_ms,game_ms,render_ms,draw_calls,primitives,process_bytes,world_actors,compound_actors,instances,batches
empty,1,5.0286,1.6017,5.3334,161,831061,4499578880,64,0,0,0
empty,2,5.4699,1.4319,5.4319,161,831061,4499582976,64,0,0,0
empty,3,5.8793,1.4642,5.8047,188,1188561,4499582976,64,0,0,0
empty,4,5.9528,1.3729,6.1048,161,831061,4499582976,64,0,0,0
empty,5,5.8331,1.4421,5.6296,162,831073,4499582976,64,0,0,0
empty,6,5.0767,1.5338,5.1213,188,1188545,4499582976,64,0,0,0
empty,7,6.0978,1.6039,6.0165,162,831073,4499582976,64,0,0,0
empty,8,5.7348,1.4309,5.7954,161,831061,4499582976,64,0,0,0
empty,9,5.8403,1.6092,5.7894,162,831073,4499582976,64,0,0,0
empty,10,5.5389,1.3959,5.7220,188,1188561,4499582976,64,0,0,0
empty,11,6.4164,1.6062,6.1341,162,831073,4499582976,64,0,0,0
empty,12,5.6145,1.5409,5.7162,161,831061,4499582976,64,0,0,0
empty,13,5.2311,1.4194,5.3583,188,1188545,4499582976,64,0,0,0
empty,14,5.6976,1.4877,5.6054,161,831061,4499582976,64,0,0,0
empty,15,6.5607,1.4154,6.5528,161,831061,4499582976,64,0,0,0
empty,16,4.8098,1.4901,4.8135,161,831061,4499582976,64,0,0,0
empty,17,5.8510,1.4374,5.8728,188,1188561,4499591168,64,0,0,0
empty,18,6.1175,1.4010,6.1448,161,831061,4499591168,64,0,0,0
empty,19,5.5942,1.4969,5.4760,161,831061,4499591168,64,0,0,0
empty,20,6.2941,1.4634,6.3925,189,1188557,4499591168,64,0,0,0
empty,21,4.9780,1.2901,5.1052,161,831061,4499591168,64,0,0,0
empty,22,7.5470,1.5210,6.6846,162,831073,4499591168,64,0,0,0
empty,23,4.6587,2.1802,5.1787,161,831061,4499591168,64,0,0,0
empty,24,6.1703,1.4564,6.3186,189,1188573,4499591168,64,0,0,0
empty,25,5.1678,1.5229,5.1088,161,831061,4499591168,64,0,0,0
empty,26,5.4023,1.4844,5.4091,161,831061,4499591168,64,0,0,0
empty,27,5.4822,1.3507,5.6023,188,1188545,4499591168,64,0,0,0
empty,28,5.7012,1.4971,5.6071,162,831073,4499595264,64,0,0,0
empty,29,5.9027,1.4201,5.9374,161,831061,4499595264,64,0,0,0
empty,30,6.3435,1.3281,6.3311,161,831061,4499595264,64,0,0,0
empty,31,5.4365,1.5471,5.3752,188,1188561,4499595264,64,0,0,0
empty,32,5.4913,1.3914,5.5851,161,831061,4499595264,64,0,0,0
empty,33,5.8087,1.4261,5.6791,161,831061,4499595264,64,0,0,0
empty,34,5.8760,1.5502,5.8321,188,1188545,4499595264,64,0,0,0
empty,35,6.1051,1.4256,6.2044,161,831061,4499660800,64,0,0,0
empty,36,5.1128,1.6152,4.9266,162,831073,4499660800,64,0,0,0
empty,37,5.4296,1.4339,5.5516,161,831061,4499660800,64,0,0,0
empty,38,5.5499,1.3976,5.6841,189,1188573,4499660800,64,0,0,0
empty,39,5.8435,1.3930,5.7274,161,831061,4499660800,64,0,0,0
empty,40,5.8910,1.4721,5.8674,161,831061,4499660800,64,0,0,0
empty,41,6.0500,1.4473,5.9989,188,1188545,4499660800,64,0,0,0
empty,42,5.5635,1.4650,5.6137,161,831061,4499660800,64,0,0,0
empty,43,6.3735,1.3988,6.4127,161,831061,4499660800,64,0,0,0
empty,44,4.9617,1.4248,4.8158,161,831061,4499660800,64,0,0,0
empty,45,6.0536,1.5688,6.0400,188,1188561,4499660800,64,0,0,0
empty,46,5.2945,1.3900,5.4530,161,831061,4499660800,64,0,0,0
empty,47,5.6880,1.4751,5.5108,162,831073,4499660800,64,0,0,0
empty,48,5.9832,1.5262,5.9645,189,1188557,4499660800,64,0,0,0
empty,49,5.3619,1.4269,5.5412,162,831073,4499660800,64,0,0,0
empty,50,5.8737,1.4409,5.6924,161,831061,4499660800,64,0,0,0
empty,51,5.9887,1.3675,6.1813,162,831073,4499660800,64,0,0,0
empty,52,5.1674,1.3523,5.1227,189,1188573,4499660800,64,0,0,0
empty,53,5.7846,1.4449,5.6519,161,831061,4499660800,64,0,0,0
empty,54,5.2656,1.3674,5.4003,161,831061,4499660800,64,0,0,0
empty,55,6.5023,1.5051,6.3000,188,1188545,4499660800,64,0,0,0
empty,56,5.8807,1.6954,5.7629,161,831061,4499660800,64,0,0,0
empty,57,5.6077,1.5916,5.6832,161,831061,4499660800,64,0,0,0
empty,58,5.7487,1.6418,5.7079,162,831073,4499664896,64,0,0,0
empty,59,5.5510,1.4645,5.6535,188,1188561,4499664896,64,0,0,0
empty,60,5.4045,1.4241,5.5002,161,831061,4499664896,64,0,0,0
empty,61,5.6218,1.4438,5.5870,162,831073,4499664896,64,0,0,0
empty,62,5.6348,1.4330,5.6621,188,1188545,4499664896,64,0,0,0
empty,63,5.8609,1.4186,5.7631,161,831061,4499664896,64,0,0,0
empty,64,5.5922,1.4995,5.6133,162,831073,4499664896,64,0,0,0
empty,65,5.7119,1.4393,5.7308,161,831061,4499664896,64,0,0,0
empty,66,5.5954,1.3787,5.6491,188,1188561,4499664896,64,0,0,0
