id	visible	enabled	x	y	right	bottom	value
Inspector.Root	1	1	3096	836	3416	1316	Building.1
Inspector.Identity	1	1	3109	961	3355	997	Paused
Inspector.Result	1	1	3206	1057	3306	1157	0%
Inspector.Production.Batch	1	1	3206	1057	3306	1157	progressTicks=0;cycleTicks=120;completedBatches=0
Inspector.Production.Batch.Tooltip	0	1	0	0	0	0	hover
Inspector.Production.Batch.Time	0	1	0	0	0	0	02:00
Inspector.Production.Batch.Percent	0	1	0	0	0	0	0%
Inspector.Production.Portrait	1	1	3188	836	3324	956	Worker
Inspector.Production.Cost	1	1	3113	1266	3252	1303	
Inspector.Production.Labor	1	1	3260	1266	3399	1303	8
Inspector.Production.Output.Good.Grain	1	1	3326	1073	3399	1166	6
Inspector.Flows	1	1	3113	1057	3399	1181	6 Grain per batch
Inspector.Production.Output.Good.Grain.Stock	0	1	0	0	0	0	16
Inspector.Production.Record.Batches	0	1	0	0	0	0	0
Inspector.Production.Record.Good.Grain	0	1	0	0	0	0	0 Grain
Inspector.Production.Laborers	0	1	0	0	0	0	8 / 8
Inspector.Production.Artisans	0	1	0	0	0	0	0 / 0
Inspector.Problem	1	1	3137	1025	3399	1045	Resume production to continue this batch.
Inspector.Problem.Cause	0	1	0	0	0	0	This building is paused.
Inspector.History	0	1	0	0	0	0	0 batches
Inspector.Action.ViewStorage	0	1	0	0	0	0	action
Inspector.Action.OpenRelated	0	1	0	0	0	0	action
Inspector.Action.Pin	0	1	0	0	0	0	action
Inspector.Action.Frame	0	1	0	0	0	0	action
Inspector.Close	1	1	3355	963	3403	1011	action
Inspector.Action.ToggleProduction	1	1	3113	1201	3252	1249	action
Inspector.Action.OpenCause	1	1	3260	1201	3399	1249	action
Inspector.Action.RemoveBuilding	0	0	0	0	0	0	action
