id	visible	enabled	x	y	right	bottom	value
Inspector.Root	1	1	3016	112	3416	1316	Building.1
Inspector.Identity	1	1	3067	117	3303	153	Paused
Inspector.Result	1	1	3166	225	3266	325	0%
Inspector.Production.Batch	1	1	3166	225	3266	325	progressTicks=0;cycleTicks=120;completedBatches=0
Inspector.Flows	1	1	3033	435	3399	465	6 Grain per batch
Inspector.Production.Output.Good.Grain.Stock	1	1	3033	435	3399	465	16
Inspector.Production.Record.Batches	1	1	3033	556	3399	586	0
Inspector.Production.Record.Good.Grain	1	1	3033	586	3399	616	0 Grain
Inspector.Production.Laborers	1	1	3033	500	3399	521	8 / 8
Inspector.Production.Artisans	0	1	0	0	0	0	0 / 0
Inspector.Problem	1	1	3033	624	3399	690	Resume production to continue this batch.
Inspector.Problem.Cause	1	1	3081	664	3389	680	This building is paused.
Inspector.History	1	1	3033	556	3399	616	0 batches
Inspector.Action.ToggleProduction	1	1	3033	700	3399	748	action
Inspector.Action.ViewStorage	1	1	3033	754	3212	802	action
Inspector.Action.OpenRelated	1	1	3220	754	3399	802	action
Inspector.Action.Pin	1	1	3033	808	3212	856	action
Inspector.Action.Frame	1	1	3220	808	3399	856	action
Inspector.Action.OpenCause	1	1	3303	117	3351	169	action
Inspector.Close	1	1	3355	117	3403	169	action
Inspector.Action.RemoveBuilding	1	0	3033	870	3399	918	action
