actor	definition	component	mesh	instances	lods	lod0Triangles	materials	castShadow	enginePrimitive
StaticMeshActor_UAID_C87F54696D02DBFE02_1355899285	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1356295291	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1355774283	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1356232290	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1355968286	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1355831284	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1356097288	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1356036287	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1356348292	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
StaticMeshActor_UAID_C87F54696D02DBFE02_1356164289	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
HansaGrainFarmPresentation_0	environment	CompletedFarm	/Game/Mesh/hansa-grain-farm/Final/SM_HansaGrainFarm.SM_HansaGrainFarm	1	3	12112	5	1	0
HansaGrainFarmPresentation_0	environment	WorkingSheaves	/Game/Mesh/hansa-grain-farm/Final/SM_HansaFarmProp_SheavesTools.SM_HansaFarmProp_SheavesTools	1	3	1524	3	1	0
HansaGrainFarmPresentation_0	environment	MatureField0	/Game/Mesh/hansa-grain-farm/Final/SM_HansaGrainField_Corner_Mature_4m.SM_HansaGrainField_Corner_Mature_4m	1	3	6960	2	1	0
HansaGrainFarmPresentation_0	environment	MatureField1	/Game/Mesh/hansa-grain-farm/Final/SM_HansaGrainField_Center_Mature_4m.SM_HansaGrainField_Center_Mature_4m	1	3	12800	2	1	0
HansaGrainFarmPresentation_0	environment	MatureField2	/Game/Mesh/hansa-grain-farm/Final/SM_HansaGrainField_Edge_Mature_4m.SM_HansaGrainField_Edge_Mature_4m	1	3	9040	2	1	0
BP_HansaWindmill_Animated_C_0	environment	StaticMeshComponent0	/Game/Mesh/hansa-mill/P09/Meshes/SM_Mill_Body.SM_Mill_Body	1	3	77556	8	1	0
TurningSails_GEN_VARIABLE_BP_Windmill_Rotor_C_CAT_0	environment	StaticMeshComponent0	/Game/Mesh/hansa-mill/P09/Meshes/SM_Mill_Rotor.SM_Mill_Rotor	1	3	17298	2	1	0
HansaBakeryPresentation_0	environment	CompletedBakery	/Game/Mesh/hansa-bakery/P10/Meshes/SM_Bakery_Body.SM_Bakery_Body	1	3	111512	15	1	0
HansaBakeryPresentation_0	environment	FlourInput	/Game/Mesh/hansa-bakery/P10/Meshes/SM_Bakery_Input.SM_Bakery_Input	1	3	246	1	1	0
HansaBakeryPresentation_0	environment	BreadOutput	/Game/Mesh/hansa-bakery/P10/Meshes/SM_Bakery_Output.SM_Bakery_Output	1	3	1922	2	1	0
HansaBakeryPresentation_0	environment	PermanentBreadSign	/Game/Mesh/hansa-bakery/P10/Meshes/SM_Bakery_Sign.SM_Bakery_Sign	1	3	784	3	1	0
HansaBuildingProjection_7_1	Building.Brewery	BuildingMesh	/Engine/BasicShapes/Cube.Cube	1	1	48	1	0	1
BP_Residence_Laborer_Review_C_0	environment	ResidenceMesh	/Game/Mesh/hansa-residences/Meshes_R06/SM_Residence_Laborer_A.SM_Residence_Laborer_A	1	3	43480	7	1	0
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	Water	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	LandCore	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	LandNorth	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	LandSouth	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	ShoreNorth	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	ShoreCentral	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	ShoreSouth	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	Quay	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	PierNorth	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	PierSouth	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	RoadHarbor	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
HansaLubeckWorldFoundation_UAID_C87F54696D02F6FD02_1113709960	environment	RoadSpine	/Engine/BasicShapes/Cube.Cube	1	1	48	1	1	1
StaticMeshActor_UAID_C87F54696D0227FF02_1405144639	environment	StaticMeshComponent0	/Game/HansaBakery_20260906_01/Meshes/SM_HansaBakery_R2.SM_HansaBakery_R2	1	1	862954	17	1	0
StaticMeshActor_UAID_C87F54696D02F0FE02_2126399959	environment	StaticMeshComponent0	/Game/Mesh/LaborerResidence/Materials_R04/Meshes/SM_LaborerResidence.SM_LaborerResidence	1	1	988180	17	1	0
