actor	mesh	instances	lods	lod0Triangles
BP_Cog_Review_C_0	/Game/Mesh/hansa-vehicles/Meshes/SM_HansaCog_Hull.SM_HansaCog_Hull	1	3	23696
BP_Cog_Review_C_0	/Game/Mesh/hansa-vehicles/Meshes/SM_HansaCog_Rig.SM_HansaCog_Rig	1	3	444
BP_Cog_Review_C_0	/Game/Mesh/hansa-vehicles/Meshes/SM_HansaCog_Sail.SM_HansaCog_Sail	1	3	3524
BP_Cog_Review_C_0	/Game/Mesh/hansa-vehicles/Meshes/SM_HansaCargo_Sacks.SM_HansaCargo_Sacks	1	3	2512
HansaRostockQuarter_0	/Game/Mesh/hansa-residences/Meshes_R06/SM_Residence_Laborer_A.SM_Residence_Laborer_A	12	3	43480
HansaRostockQuarter_0	/Game/Mesh/hansa-market/Meshes/SM_HansaMarket.SM_HansaMarket	1	3	63176
HansaRostockQuarter_0	/Game/Mesh/hansa-bakery/P10/Meshes/SM_Bakery_Body.SM_Bakery_Body	1	3	111512
HansaRostockQuarter_0	/Game/Mesh/hansa-mill/P09/Meshes/SM_Mill_Body.SM_Mill_Body	1	3	77556
HansaRostockQuarter_0	/Game/Mesh/hansa-harbor/Meshes/SM_HansaQuay_Edge4m.SM_HansaQuay_Edge4m	22	3	572
HansaRostockQuarter_0	/Game/Mesh/hansa-harbor/Meshes/SM_HansaDock_Deck4m.SM_HansaDock_Deck4m	3	3	1368
HansaRostockQuarter_0	/Game/Mesh/hansa-harbor/Meshes/SM_HansaHarborHoist.SM_HansaHarborHoist	1	3	1712
HansaRostockQuarter_0	/Game/Mesh/hansa-harbor/Meshes/SM_HansaHarborTransferSkid.SM_HansaHarborTransferSkid	2	3	308
HansaRostockQuarter_0	/Game/Mesh/hansa-harbor/Meshes/SM_HansaMooring_Post.SM_HansaMooring_Post	8	3	1240
HansaRostockQuarter_0	/Game/Mesh/hansa-mill/P09/Meshes/SM_Mill_Rotor.SM_Mill_Rotor	1	3	17298
HansaRostockQuarter_0	/Game/Mesh/hansa-dirt-road/Meshes/SM_HansaRoad_Straight.SM_HansaRoad_Straight	34	3	1536
WaterBodyCustom_0	/Game/Hansa/Generated/Staging/Rostock_P31/SM_Rostock_Warnow.SM_Rostock_Warnow	1	1	2
