id,name,longitude,latitude,easting,northing,kind,coordinate_confidence,core_radius_m,transition_radius_m,x_cm,y_cm,target_elevation_m,maximum_grading_delta_m,z_cm,centre_is_dry
City.Lubeck,Lübeck,10.6866,53.8677,4366173.782746038,3418048.2156466455,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",124.17074320611594,564.4124691187088,3790434.456865096,4454879.4608833855,3.0,1.5,300.0,True
City.Hamburg,Hamburg,9.9933,53.5503,4320555.867040055,3382512.7266650614,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",105.84784502340565,481.1265682882075,3676389.667600137,4543718.183337347,3.0,1.5,300.0,True
City.Luneburg,Lüneburg,10.4149,53.2487,4348697.034816995,3349029.0670845974,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",105.84784502340565,481.1265682882075,3746742.5870424877,4627427.332288506,3.0,0.9460732936859131,300.0,True
City.Rostock,Rostock,12.14,54.0887,4461038.787104358,3444498.365002078,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",119.53969348154523,543.3622430979328,4027596.967760895,4388754.0874948045,3.0,1.5,300.0,True
City.Wismar,Wismar,11.4657,53.891,4417374.267072467,3421402.248953339,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",119.53969348154523,543.3622430979328,3918435.6676811674,4446494.377616651,3.0,1.5,300.0,True
City.Stralsund,Stralsund,13.0905,54.3151,4522107.137951828,3471920.4260868365,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",74.89696684263033,340.44075837559245,4180267.844879569,4320198.934782909,3.0,1.5,300.0,True
City.Greifswald,Greifswald,13.3816,54.0957,4542194.447065785,3448375.776840666,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",74.89696684263033,340.44075837559245,4230486.117664461,4379060.557898335,3.0,1.5,300.0,True
City.Kiel,Kiel,10.1405,54.3227,4330144.266977294,3468477.0580973686,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",149.98523081853867,681.7510491751757,3700360.6674432354,4328807.354756578,3.0,1.5,300.0,True
City.Stettin,Stettin (Szczecin),14.564,53.425,4624196.531509465,3378112.013574912,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",220.0,1187.864441780412,4435491.3287736615,4554719.966062719,3.0,1.9420456886291504,300.0,True
City.Danzig,Danzig (Gdańsk),18.653,54.348,4882267.180797922,3504928.4662778256,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",127.76892074374148,580.7678215624612,5080667.951994806,4237678.834305435,3.0,2.021712303161621,300.0,True
City.Elbing,Elbing (Elbląg),19.396,54.159,4932930.528931692,3490070.597943723,member,"approximate historical centre; editorial seed, requires gazetteer/archaeological review",127.76892074374148,580.7678215624612,5207326.322329231,4274823.505140692,3.0,1.5,300.0,True
